id,name,category,season,properties
1,Apple,fruit,fall,"vitamin_c,fiber,antioxidants,cooling,light"
2,Banana,fruit,tropical,"potassium,energy,digestive,heavy,sweet,cooling"
3,Orange,fruit,winter,"vitamin_c,fiber,immune_boost,sour,light"
4,Milk,dairy,all,"calcium,protein,hydration,heavy,sweet,cooling,mucus_forming"
5,Yogurt,dairy,all,"probiotics,calcium,protein,sour,cooling,light"
6,Chicken,protein,all,"protein,iron,b_vitamins,heating,heavy"
7,Fish,protein,all,"omega_3,protein,vitamin_d,light,heating"
8,Rice,grain,all,"carbs,energy,fiber,light,cooling"
9,Bread,grain,all,"carbs,fiber,b_vitamins,heavy,dry"
10,Spinach,vegetable,spring,"iron,vitamin_k,folate,cooling,light"
11,Broccoli,vegetable,fall,"vitamin_c,fiber,antioxidants,light,heating"
12,Carrot,vegetable,fall,"vitamin_a,fiber,beta_carotene,sweet,heating,light"
13,Tomato,vegetable,summer,"vitamin_c,lycopene,antioxidants,sour,heating"
14,Egg,protein,all,"protein,vitamin_d,choline,heating,heavy"
15,Cheese,dairy,all,"calcium,fat,protein,heavy,mucus_forming,salty"
16,Potato,vegetable,all,"carbs,potassium,vitamin_c,heavy,dry"
17,Onion,vegetable,all,"antioxidants,anti_inflammatory,digestive,heating,pungent"
18,Garlic,vegetable,all,"antioxidants,immune_boost,anti_inflammatory,heating,pungent"
19,Ginger,spice,all,"anti_inflammatory,digestive,immune_boost,heating,pungent"
20,Turmeric,spice,all,"anti_inflammatory,antioxidants,immune_boost,heating,bitter"
21,Lentils,legume,all,"protein,fiber,iron,light,dry,cooling"
22,Cucumber,vegetable,summer,"hydration,cooling,light"
23,Watermelon,fruit,summer,"hydration,cooling,light,sweet"
24,Grapes,fruit,summer,"antioxidants,sweet,light,cooling"
25,Almonds,nut,all,"protein,healthy_fats,vitamin_e,heating,heavy"
26,Honey,sweetener,all,"antioxidants,heating,light"
27,Ghee,dairy,all,"healthy_fats,digestive,cooling,heavy"
28,Coffee,beverage,all,"stimulant,heating,light,bitter"
29,Green Tea,beverage,all,"antioxidants,light,cooling,bitter"
30,Spinach,vegetable,spring,"iron,vitamin_k,folate,cooling,light"
